School Name,Borough,City,State,Zip Code,Latitude,Longitude,Student Enrollment,Percent White,Percent Black,Percent Hispanic,Percent Asian,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Percent Tested
"New Explorations into Science, Technology and Math High School",Manhattan,Manhattan,NY,10002,40.71873,-73.97943000000001,1735.0,28.6,13.3,18.0,38.5,657.0,601.0,601.0,91.0
Essex Street Academy,Manhattan,Manhattan,NY,10002,40.71687,-73.98953,358.0,11.7,38.5,41.3,5.9,395.0,411.0,387.0,78.9
Lower Manhattan Arts Academy,Manhattan,Manhattan,NY,10002,40.71687,-73.98953,383.0,3.1,28.2,56.9,8.6,418.0,428.0,415.0,65.1
High School for Dual Language and Asian Studies,Manhattan,Manhattan,NY,10002,40.71687,-73.98953,416.0,1.7,3.1,5.5,88.9,613.0,453.0,463.0,95.9
Henry Street School for International Studies,Manhattan,Manhattan,NY,10002,40.71376,-73.98526,255.0,3.9,24.4,56.6,13.2,410.0,406.0,381.0,59.7
Bard High School Early College,Manhattan,Manhattan,NY,10002,40.718959999999996,-73.97606999999999,545.0,45.3,17.2,18.7,17.1,634.0,641.0,639.0,70.8
Urban Assembly Academy of Government and Law,Manhattan,Manhattan,NY,10002,40.71687,-73.98953,329.0,2.7,41.9,49.2,5.8,389.0,395.0,381.0,80.8
Marta Valle High School,Manhattan,Manhattan,NY,10002,40.72057,-73.98567,363.0,2.5,39.9,51.2,5.8,438.0,413.0,394.0,35.6
University Neighborhood High School,Manhattan,Manhattan,NY,10002,40.71233,-73.9848,304.0,3.3,25.0,41.1,29.9,437.0,355.0,352.0,69.9
New Design High School,Manhattan,Manhattan,NY,10002,40.71687,-73.98953,441.0,3.9,30.8,56.9,5.9,381.0,396.0,372.0,73.7
Pace High School,Manhattan,Manhattan,NY,10002,40.716409999999996,-73.99268000000001,423.0,1.9,28.1,45.4,13.7,430.0,435.0,427.0,87.8
High School for Health Professions and Human Services,Manhattan,Manhattan,NY,10003,40.732490000000006,-73.98305,1664.0,7.3,18.9,50.9,22.4,452.0,445.0,430.0,86.9
High School for Language and Diplomacy,Manhattan,Manhattan,NY,10003,40.73552,-73.9876,437.0,5.7,20.4,40.3,31.1,446.0,433.0,411.0,70.2
International High School at Union Square,Manhattan,Manhattan,NY,10003,40.73552,-73.9876,353.0,9.9,14.2,45.3,30.6,403.0,330.0,316.0,53.2
Institute for Collaborative Education,Manhattan,Manhattan,NY,10003,40.732490000000006,-73.98305,482.0,56.5,14.1,14.9,5.8,501.0,550.0,541.0,78.6
Gramercy Arts High School,Manhattan,Manhattan,NY,10003,40.73552,-73.9876,530.0,5.8,42.5,44.2,3.6,446.0,459.0,455.0,79.6
Urban Assembly New York Harbor School,Manhattan,Manhattan,NY,10004,40.69079,-74.01975999999999,447.0,18.8,23.7,51.7,2.9,446.0,453.0,428.0,78.8
Richard R. Green High School of Teaching,Manhattan,Manhattan,NY,10004,40.70523,-74.01332,566.0,2.7,31.1,58.8,6.2,411.0,415.0,409.0,60.0
Millennium High School,Manhattan,Manhattan,NY,10004,40.70492,-74.01151,659.0,32.8,7.6,18.2,38.4,577.0,560.0,567.0,94.0
Urban Assembly School of Business for Young Women,Manhattan,Manhattan,NY,10004,40.70523,-74.01332,405.0,2.2,52.8,39.3,3.5,418.0,420.0,417.0,75.0
High School of Economics and Finance,Manhattan,Manhattan,NY,10006,40.70922,-74.01203000000001,796.0,7.2,22.9,47.1,21.7,469.0,442.0,447.0,66.8
Leadership and Public Service High School,Manhattan,Manhattan,NY,10006,40.70915,-74.01208000000001,699.0,4.4,27.9,61.9,3.9,390.0,396.0,392.0,54.9
East Side Community School,Manhattan,Manhattan,NY,10009,40.72978,-73.98304,666.0,8.3,22.1,57.9,9.4,454.0,428.0,445.0,85.2
Baruch College Campus High School,Manhattan,Manhattan,NY,10010,40.74405,-73.99148000000001,451.0,22.8,6.2,14.9,54.8,592.0,526.0,531.0,94.3
School of the Future High School,Manhattan,Manhattan,NY,10010,40.73895,-73.98541,713.0,35.9,11.7,30.4,14.4,534.0,533.0,522.0,89.9
Manhattan Village Academy,Manhattan,Manhattan,NY,10010,40.74149,-73.99145,415.0,7.2,9.6,67.2,7.2,522.0,479.0,510.0,98.8
NYC Lab School for Collaborative Studies,Manhattan,Manhattan,NY,10011,40.7421,-74.00206999999999,587.0,46.0,6.0,15.5,27.6,595.0,550.0,555.0,79.8
Hudson High School of Learning Technologies,Manhattan,Manhattan,NY,10011,40.74289,-74.00213000000001,483.0,3.3,29.2,59.4,6.4,378.0,407.0,388.0,71.8
Manhattan Business Academy,Manhattan,Manhattan,NY,10011,40.74289,-74.00213000000001,438.0,3.9,28.1,62.1,3.4,410.0,407.0,399.0,69.7
Landmark High School,Manhattan,Manhattan,NY,10011,40.74289,-74.00213000000001,355.0,1.7,24.2,68.5,3.7,386.0,386.0,386.0,30.6
High School of Fashion Industries,Manhattan,Manhattan,NY,10011,40.74511,-73.99591,1770.0,3.8,36.3,53.8,5.0,433.0,442.0,427.0,80.6
NYC Museum School,Manhattan,Manhattan,NY,10011,40.7421,-74.00206999999999,471.0,12.1,12.7,39.7,34.2,560.0,530.0,522.0,90.0
Chelsea Career and Technical Education High School,Manhattan,Manhattan,NY,10013,40.72435,-74.00476,439.0,3.2,28.9,57.4,8.2,439.0,418.0,400.0,80.4
NYC iSchool,Manhattan,Manhattan,NY,10013,40.72435,-74.00476,442.0,28.7,19.9,39.8,8.6,518.0,515.0,503.0,96.0
Manhattan Academy for Arts and Language,Manhattan,Manhattan,NY,10016,40.746109999999994,-73.98101,334.0,1.5,4.8,91.3,2.4,350.0,334.0,321.0,46.1
Unity Center for Urban Technologies,Manhattan,Manhattan,NY,10016,40.746109999999994,-73.98101,284.0,4.9,27.5,58.8,6.0,375.0,385.0,387.0,62.8
Business of Sports School,Manhattan,Manhattan,NY,10019,40.76336,-73.99051,449.0,1.6,35.4,59.5,2.2,395.0,386.0,371.0,67.5
Facing History School,Manhattan,Manhattan,NY,10019,40.765029999999996,-73.99252,406.0,2.2,27.3,67.5,1.7,366.0,356.0,371.0,57.3
High School of Hospitality Management,Manhattan,Manhattan,NY,10019,40.765029999999996,-73.99252,424.0,1.7,21.0,71.2,5.0,451.0,433.0,424.0,56.2
Urban Assembly School of Design and Construction,Manhattan,Manhattan,NY,10019,40.765029999999996,-73.99252,414.0,3.4,29.5,59.2,6.0,445.0,417.0,403.0,60.6
High School for Environmental Studies,Manhattan,Manhattan,NY,10019,40.767759999999996,-73.98751,1301.0,6.6,14.7,62.9,15.1,469.0,454.0,444.0,74.0
